timestamp,open,high,low,close,volume
2020-01-10,162.8235,163.22,161.18,161.34,20640659
2020-01-09,161.835,162.215,161.03,162.09,21399951
2020-01-08,158.93,160.8,157.9491,160.09,27762026
2020-01-07,159.32,159.67,157.32,157.58,21881740
2020-01-06,157.08,159.1,156.51,159.03,20826702
2020-01-03,158.32,159.945,158.06,158.62,21121681
2020-01-02,158.78,160.73,158.33,160.62,22634546
2019-12-31,156.77,157.77,156.45,157.7,18393383
2019-12-30,158.9865,159.02,156.73,157.59,16356720
2019-12-27,159.45,159.55,158.22,158.96,18414352
2019-12-26,157.5511,158.73,157.4,158.67,14526927
2019-12-24,157.48,157.71,157.115,157.38,8989150
2019-12-23,158.12,158.12,157.27,157.41,17726283
2019-12-20,157.35,158.49,156.29,157.41,53599613
2019-12-19,154,155.77,153.75,155.71,25813825
2019-12-18,154.3,155.48,154.18,154.37,24132379
2019-12-17,155.45,155.71,154.45,154.69,25443527
2019-12-16,155.11,155.9,154.82,155.53,24152770
2019-12-13,153.1106,154.89,152.83,154.53,23850062
2019-12-12,151.65,153.44,151.02,153.24,24645366
2019-12-11,151.54,151.87,150.33,151.7,18860001
2019-12-10,151.29,151.89,150.765,151.13,16481060
2019-12-09,151.07,152.21,150.91,151.36,16741350
2019-12-06,150.99,151.87,150.27,151.75,16410400
2019-12-05,150.05,150.32,149.48,149.93,17880601
2019-12-04,150.14,150.1799,149.2,149.85,17580617
2019-12-03,147.49,149.43,146.65,149.31,25192145
2019-12-02,151.81,151.83,148.32,149.55,27473616
2019-11-29,152.1,152.3,151.28,151.38,11977300
2019-11-27,152.33,152.5,151.52,152.32,15201293
2019-11-26,151.36,152.42,151.32,152.03,24635100
2019-11-25,150,151.35,149.92,151.23,22428585
2019-11-22,150.07,150.3,148.82,149.59,15841680
2019-11-21,149.4,149.8,148.501,149.48,18576083
2019-11-20,150.31,150.84,148.46,149.62,25720060
2019-11-19,150.88,151.33,150.195,150.39,23960164
2019-11-18,150.07,150.55,148.98,150.34,21554762
2019-11-15,148.93,149.99,148.27,149.97,23508807
2019-11-14,147.02,148.41,147,148.06,19755100
2019-11-13,146.74,147.4625,146.28,147.31,17444230
2019-11-12,146.28,147.57,146.06,147.07,18648712
2019-11-11,145.34,146.42,144.73,146.11,14370178
2019-11-08,143.98,145.99,143.76,145.96,16752939
2019-11-07,143.84,144.88,143.77,144.26,17786715
2019-11-06,144.37,144.52,143.2,144.06,16575798
2019-11-05,144.97,145.02,143.905,144.46,18250172
2019-11-04,144.83,145,144.16,144.55,16911999
2019-11-01,144.26,144.42,142.965,143.72,33128366
2019-10-31,144.9,144.93,142.99,143.37,24605135
2019-10-30,143.52,145,142.79,144.61,18496591
2019-10-29,144.08,144.5,142.65,142.83,20589469
2019-10-28,144.4,145.67,143.51,144.19,34912902
2019-10-25,139.34,141.14,139.2,140.73,25959724
2019-10-24,139.39,140.42,138.67,139.94,37278399
2019-10-23,136.88,137.45,135.61,137.24,31380309
2019-10-22,138.97,140.01,136.26,136.37,27935270
2019-10-21,138.45,138.5,137.01,138.43,20078066
2019-10-18,139.76,140,136.56,137.41,30650850
2019-10-17,140.95,141.42,139.02,139.69,22102797
2019-10-16,140.79,140.99,139.53,140.41,20841687
2019-10-15,140.06,141.79,139.81,141.575,19917762
2019-10-14,139.69,140.29,139.52,139.55,13591639
2019-10-11,140.12,141.03,139.5,139.68,25551065
2019-10-10,138.49,139.6699,138.25,139.1,18396605
2019-10-09,137.46,138.7,136.97,138.24,20178482
2019-10-08,137.08,137.76,135.62,135.67,26783336
2019-10-07,137.14,138.18,137.02,137.12,16601284
2019-10-04,136.75,138.25,136.42,138.12,23839548
2019-10-03,134.95,136.75,133.22,136.28,26379798
2019-10-02,136.25,136.37,133.5799,134.65,32001763
2019-10-01,139.66,140.25,137,137.07,22581929
2019-09-30,138.05,139.215,137.78,139.03,18430390
2019-09-27,140.15,140.36,136.645,137.73,22498958
2019-09-26,139.44,140.18,138.44,139.54,17813512
2019-09-25,137.5,139.958,136.03,139.36,22544054
2019-09-24,140.36,140.69,136.88,137.38,30016670
2019-09-23,139.23,139.63,138.44,139.14,17408374
2019-09-20,141.01,141.65,138.25,139.44,40040766
2019-09-19,140.3,142.37,140.0736,141.07,36095413
2019-09-18,137.36,138.67,136.5299,138.52,24473386
2019-09-17,136.96,137.52,136.425,137.39,17976285
2019-09-16,135.83,136.7,135.66,136.33,16731440
2019-09-13,137.78,138.06,136.57,137.32,23363057
2019-09-12,137.85,138.42,136.87,137.52,27009981
2019-09-11,135.91,136.27,135.09,136.12,24726117
2019-09-10,136.8,136.8862,134.51,136.08,28903378
2019-09-09,139.59,139.75,136.46,137.52,25773932
2019-09-06,140.03,140.18,138.2,139.1,20824504
2019-09-05,139.11,140.3837,138.76,140.05,26119520
2019-09-04,137.3,137.69,136.48,137.63,18015310
2019-09-03,136.61,137.2,135.7,136.04,18880773
2019-08-30,139.15,139.18,136.27,137.86,23946123
2019-08-29,137.25,138.44,136.91,138.12,20179716
2019-08-28,134.88,135.76,133.55,135.56,17343042
2019-08-27,136.39,136.72,134.66,135.74,23115635
2019-08-26,134.99,135.56,133.9,135.45,20325271
2019-08-23,137.1897,138.35,132.8,133.39,38515386
2019-08-22,138.66,139.2,136.29,137.78,18709662
2019-08-21,138.55,139.4935,138,138.79,14982314
2019-08-20,138.21,138.71,137.24,137.26,21188998
